code,name,n,avg,median,p90,p95,max,within5,over15
SALNS,Sallins,835,1.6323353293413174,1.0,5.0,7.0,123.0,91.49700598802396,0.9580838323353293
HWTHJ,Howth Junction,2647,2.285228560634681,1.0,6.0,8.0,41.0,88.32640725349452,0.9066868152625613
HAZEF,Hazelhatch,1156,0.972318339100346,0.0,4.0,6.0,43.0,94.80968858131487,0.7785467128027682
HAZES,Hazelhatch,1156,0.9688581314878892,0.0,4.0,6.0,43.0,94.80968858131487,0.7785467128027682
HZLCH,Hazelhatch,1156,0.9714532871972318,0.0,4.0,6.0,43.0,94.80968858131487,0.7785467128027682
LTOWN,Laytown,775,1.9574193548387098,1.0,6.0,9.0,34.0,89.16129032258064,1.6774193548387097
SMONT,Sandymount,2319,1.7835273824924536,1.0,5.0,8.0,38.0,90.42690815006468,0.8624407072013799
ASHTN,Ashtown,1186,2.2141652613827993,1.0,6.0,8.0,60.0,89.46037099494097,1.1804384485666104
COLNY,Collooney,209,2.8660287081339715,1.0,7.0,14.0,36.0,85.64593301435407,3.349282296650718
DLKEY,Dalkey,2320,2.2081896551724136,1.0,6.0,9.0,45.0,86.9396551724138,1.1637931034482758
SHILL,Salthill and Monkstown,2320,1.575,0.0,5.0,8.0,38.0,90.17241379310344,0.9913793103448276
WBROK,Woodbrook,2320,1.7155172413793103,0.0,6.0,9.0,44.0,88.14655172413794,1.1206896551724137
BRAY,Bray,2517,1.8629320619785459,0.0,6.0,9.0,45.0,88.16050854191498,1.3508144616607072
BTSTN,Booterstown,2318,1.651423641069888,1.0,5.0,7.0,39.0,90.6816220880069,0.6902502157031924
DLERY,Dun Laoghaire,2552,1.9764890282131662,1.0,6.0,8.0,39.0,88.1269592476489,1.1363636363636365
GLGRY,Glenageary,2320,2.2676724137931035,1.0,6.0,9.0,39.0,86.89655172413794,1.0775862068965518
LXCON,Leixlip (Confey),972,1.1759259259259258,0.0,5.0,8.0,51.0,91.35802469135803,1.5432098765432098
SEAPT,Seapoint,2320,1.9422413793103448,1.0,6.0,8.0,38.0,89.39655172413794,0.9482758620689655
TARA,Tara Street,3601,1.9161344071091364,1.0,6.0,7.0,38.0,89.83615662316024,0.6664815329075257
KBRCK,Kilbarrack,2321,2.5118483412322274,2.0,6.0,8.0,41.0,87.07453683757001,0.7755277897457993
MHIDE,Malahide,1887,1.8065712771595124,0.0,6.0,8.0,48.0,89.45416004239533,1.1128775834658187
GCDK,Grand Canal Dock,3320,1.9409638554216868,1.0,5.0,8.0,39.0,90.06024096385542,0.7228915662650602
CLARA,Clara,312,2.375,1.0,7.0,9.0,108.0,85.25641025641026,2.2435897435897436
BBRDG,Broombridge,1454,1.8143053645116918,1.0,5.0,7.0,60.0,90.5089408528198,1.4442916093535076
CNOCK,Castleknock,1185,1.908016877637131,1.0,5.0,8.0,59.0,90.63291139240506,1.0970464135021096
SUTTN,Sutton,1235,2.240485829959514,1.0,6.0,9.0,38.0,86.96356275303644,1.1336032388663968
CHORC,Park West and Cherry Orchard,1098,0.7477231329690346,0.0,4.0,6.0,49.0,94.08014571948998,0.9107468123861566
PWESF,Park West and Cherry Orchard,1098,0.7331511839708561,0.0,4.0,6.0,49.0,94.08014571948998,0.9107468123861566
LDWNE,Lansdowne Road,2442,1.7575757575757576,1.0,5.0,8.0,41.0,90.86814086814087,0.9418509418509419
RLUSK,Rush and Lusk,783,1.2324393358876118,0.0,5.0,8.0,29.0,90.93231162196679,1.9157088122605364
CNLLY,Dublin Connolly,5437,1.5383483538716203,0.0,5.0,7.0,57.0,91.33713444914476,0.7908773220526025
PERSE,Dublin Pearse,3601,1.8700361010830324,1.0,6.0,7.0,41.0,89.91946681477367,0.6942515967786725
GSTNS,Greystones,940,1.5691489361702127,0.0,5.0,7.0,57.0,91.80851063829788,1.5957446808510638
WFORD,Waterford,261,1.2720306513409962,0.0,4.0,7.0,127.0,93.48659003831418,1.1494252873563218
ATHRY,Athenry,499,15.374749498997996,0.0,53.0,102.0,173.0,78.3567134268537,20.440881763527056
BALNA,Ballina,228,0.0,0.0,0.0,0.0,0.0,100.0,0.0
BFSTC,Belfast,384,2.2552083333333335,0.0,7.0,10.0,33.0,85.9375,2.34375
BTEER,Banteer,215,1.2186046511627906,0.0,2.0,4.0,45.0,97.20930232558139,1.8604651162790697
CGLOE,Carrigaloe,793,0.0416141235813367,0.0,0.0,0.0,7.0,99.74779319041615,0.0
CGTWL,Carrigtwohill,735,0.006802721088435374,0.0,0.0,0.0,7.0,99.8639455782313,0.0
CKOSR,Carrick on Suir,47,0.5531914893617021,0.0,4.0,6.0,11.0,93.61702127659575,0.0
CLBAR,Castlebar,152,1.9342105263157894,0.0,6.0,10.0,28.0,88.8157894736842,1.3157894736842106
CLMRS,Claremorris,154,2.538961038961039,0.0,6.0,12.0,103.0,88.31168831168831,1.948051948051948
COBH,Cobh,792,0.016414141414141416,0.0,0.0,0.0,6.0,99.87373737373737,0.0
CORK,Cork,2092,0.6108986615678776,0.0,0.0,3.0,137.0,96.41491395793498,0.43021032504780116
DCKLS,Docklands,234,1.4615384615384615,0.0,5.0,7.0,11.0,92.3076923076923,0.0
DDALK,Dundalk,494,0.4331983805668016,0.0,6.0,9.0,36.0,88.8663967611336,2.6315789473684212
DGHDA,Drogheda,1188,1.7626262626262625,0.0,6.0,8.0,35.0,87.28956228956228,1.7676767676767677
FFORE,Farranfore,212,1.1367924528301887,0.0,2.0,4.0,45.0,97.16981132075472,1.8867924528301887
FOTA,Fota,793,0.0416141235813367,0.0,0.0,0.0,7.0,99.74779319041615,0.0
GALWY,Galway,502,17.252988047808763,0.0,69.0,120.0,180.0,77.09163346613546,21.713147410358566
GHANE,Glounthaune,1527,0.0183366077275704,0.0,0.0,0.0,8.0,99.86902423051735,0.0
HOWTH,Howth,1232,1.8758116883116882,0.0,6.0,8.0,29.0,88.47402597402598,1.0551948051948052
KISHF,Kishoge,1031,1.0,0.0,4.0,6.0,46.0,93.8894277400582,0.8729388942774006
KISHO,Kishoge,1031,1.0,0.0,4.0,6.0,46.0,93.8894277400582,0.8729388942774006
KISHS,Kishoge,1031,1.0,0.0,4.0,6.0,46.0,93.8894277400582,0.8729388942774006
LMRCK,Limerick,794,0.8727959697732998,0.0,3.0,6.0,89.0,94.20654911838791,0.7556675062972292
LMRKJ,Limerick Junction,877,-0.06043329532497149,0.0,3.0,5.0,87.0,94.98289623717218,0.6841505131128849
LSLND,LittleIsland,1527,0.026850032743942372,0.0,0.0,0.0,8.0,99.86902423051735,0.0
M3WAY,M3 Parkway,611,1.1669394435351883,0.0,5.0,6.0,20.0,92.47135842880523,0.16366612111292964
MDLTN,Midleton,736,0.006793478260869565,0.0,0.0,0.0,7.0,99.86413043478261,0.0
MLSRT,Millstreet,216,1.1805555555555556,0.0,2.0,4.0,45.0,97.22222222222223,1.8518518518518519
MYNTH,Maynooth,1199,2.6363636363636362,0.0,7.0,10.0,56.0,84.57047539616347,2.1684737281067554
ORNMR,Oranmore,461,16.607375271149674,0.0,71.0,121.0,180.0,81.12798264642082,18.22125813449024
PTLSE,Portlaoise,801,2.168539325842697,0.0,6.0,10.0,124.0,88.38951310861424,1.6229712858926342
RBROK,Rushbrooke,792,0.041666666666666664,0.0,0.0,0.0,7.0,99.74747474747475,0.0
RMORE,Rathmore,215,1.344186046511628,0.0,2.0,4.0,45.0,97.20930232558139,1.8604651162790697
SLIGO,Sligo,209,2.1052631578947367,0.0,7.0,13.0,35.0,87.08133971291866,2.8708133971291865
TRLEE,Tralee,213,1.1032863849765258,0.0,2.0,4.0,45.0,97.1830985915493,1.8779342723004695
WPORT,Westport,152,1.6973684210526316,0.0,5.0,10.0,28.0,90.78947368421052,1.3157894736842106
ATHY,Athy,262,4.687022900763359,3.0,9.0,10.0,129.0,68.70229007633588,1.9083969465648856
BROCK,Blackrock,2428,1.485996705107084,0.0,5.0,8.0,41.0,90.48599670510708,0.7825370675453048
CRLOW,Carlow,264,1.6174242424242424,0.0,5.0,7.0,127.0,90.53030303030303,1.5151515151515151
KKNNY,Kilkenny,209,1.631578947368421,0.0,5.0,7.0,127.0,91.38755980861244,1.4354066985645932
MNEBG,Muine Bheag,208,2.043269230769231,0.0,6.0,7.0,127.0,89.42307692307692,1.9230769230769231
RAHNY,Raheny,2320,2.0280172413793105,1.0,6.0,8.0,39.0,89.00862068965517,0.646551724137931
SKILL,Shankill,2319,2.0357912893488574,1.0,6.0,9.0,45.0,87.6239758516602,1.1642949547218628
THTWN,Thomastown,197,1.4619289340101522,0.0,5.0,7.0,127.0,89.84771573604061,1.5228426395939085
ENNIS,Ennis,287,0.34146341463414637,0.0,0.0,2.0,18.0,97.90940766550523,0.34843205574912894
SXMBR,Sixmilebridge,245,0.4,0.0,0.0,4.0,18.0,97.55102040816327,0.40816326530612246
PELTN,Pelletstown,1185,2.571308016877637,2.0,6.0,8.0,59.0,88.69198312236287,1.1814345991561181
