prev_code,prev_name,next_code,next_name,observations,prev_avg,next_avg,delta_avg,delta_p50,delta_p75,delta_p90,delta_p95,pct_gain_gt2,pct_bad_after_ok,score
ATMON,Attymon,ATHRY,Athenry,59,2.559,25.068,22.508,7,45,61,64,79.661,50.000,63.845013
WLAWN,Woodlawn,ATHRY,Athenry,76,9.447,24.974,15.526,3,34,39,54,55.263,54.167,37.011723
CRLOW,Carlow,ATHY,Athy,135,0.230,4.822,4.593,4,6,10,11,77.037,32.061,13.830586
HSTON,Dublin Heuston,THRLS,Thurles,41,0.000,6.780,6.780,4,8,12,20,56.098,39.024,12.701642
HSTON,Dublin Heuston,NBRGE,Newbridge,102,0.000,4.206,4.206,4,5,6,8,72.549,22.549,10.731070
MONVN,Monasterevin,KDARE,Kildare,267,-2.011,1.232,3.243,3,4,5,6,77.903,5.000,9.498577
DGHDA,Drogheda,CNLLY,Dublin Connolly,193,0.886,4.389,3.503,3,5,7,9,53.368,15.819,7.423000
HSTON,Dublin Heuston,BBRHY,Ballybrophy,35,0.000,3.943,3.943,3,7,8,12,60.000,37.143,7.347511
DDALK,Dundalk,DGHDA,Drogheda,231,-2.537,0.736,3.273,3,5,8,10,54.978,5.310,6.701982
CNLLY,Dublin Connolly,DGHDA,Drogheda,190,0.000,3.211,3.211,2,5,9,11,45.789,24.211,6.448639
ATLNE,Athlone,RSCMN,Roscommon,79,0.810,4.418,3.608,2,6,8,10,48.101,15.493,5.800534
BTEER,Banteer,MLLOW,Mallow,106,0.000,3.547,3.547,0,9,13,14,33.962,33.019,5.574336
MONVN,Monasterevin,PTRTN,Portarlington,254,0.524,2.890,2.366,3,3,3,4,53.543,11.392,5.085633
HSTON,Dublin Heuston,KDARE,Kildare,60,0.000,3.767,3.767,2,4,7,10,41.667,13.333,4.916713
LMRKJ,Limerick Junction,THRLS,Thurles,180,-1.667,1.183,2.850,2,4,6,7,47.222,6.818,4.901128
THRLS,Thurles,HSTON,Dublin Heuston,54,0.981,3.833,2.852,3,5,7,10,51.852,25.000,4.852008
LXLSA,Leixlip (Louisa Bridge),MYNTH,Maynooth,493,2.838,4.994,2.156,2,3,3,3,46.045,17.506,4.821695
LMRKJ,Limerick Junction,LMRCK,Limerick,218,0.009,2.711,2.702,1,5,8,10,39.450,19.266,4.715755
KCOOL,Kilcoole,GSTNS,Greystones,71,0.000,2.775,2.775,2,4,6,7,46.479,12.676,4.111932
TPMOR,Templemore,PTLSE,Portlaoise,36,-1.167,1.750,2.917,3,4,6,8,52.778,11.765,4.047160
BSLOE,Ballinasloe,WLAWN,Woodlawn,111,2.685,7.225,4.541,0,2,27,32,19.820,14.737,3.865581
WLAWN,Woodlawn,BSLOE,Ballinasloe,95,0.000,2.653,2.653,0,5,17,19,37.895,20.000,3.830357
TPMOR,Templemore,BBRHY,Ballybrophy,45,-0.867,1.689,2.556,2,3,5,5,48.889,4.762,3.272886
HSTON,Dublin Heuston,PTLSE,Portlaoise,124,0.000,2.452,2.452,1,3,6,13,36.290,11.290,3.260468
ATLNE,Athlone,BSLOE,Ballinasloe,154,-0.299,2.019,2.318,2,4,5,6,38.961,6.294,3.218152
ATLNE,Athlone,TMORE,Tullamore,59,-0.610,1.492,2.102,3,4,5,7,52.542,5.263,3.097786
MYNTH,Maynooth,KCOCK,Kilcock,137,3.007,5.328,2.321,1,3,7,9,28.467,19.298,2.888527
PTRTN,Portarlington,HSTON,Dublin Heuston,126,0.238,2.246,2.008,2,3,6,7,40.476,8.108,2.835185
HSTON,Dublin Heuston,PTRTN,Portarlington,102,0.000,2.392,2.392,2,3,4,6,32.353,7.843,2.635706
KDARE,Kildare,HSTON,Dublin Heuston,96,1.500,3.438,1.938,1,3,6,8,34.375,8.333,2.239525
